"id","player_api_id","player_name","player_fifa_api_id","birthday","height","weight"
"41","201915","Abdoulaye Diaby","202330","1991-05-21 00:00:00","172.72","154"
"42","194479","Abdoulaye Diallo Sadio,22","204171","1990-12-28 00:00:00","182.88","168"
"43","189181","Abdoulaye Diallo","197233","1992-03-30 00:00:00","187.96","174"
"44","352887","Abdoulaye Doucoure","208135","1993-01-01 00:00:00","182.88","165"
"45","40005","Abdoulaye Faye","100329","1978-02-26 00:00:00","187.96","218"
"46","409003","Abdoulaye Keita","212280","1994-01-05 00:00:00","175.26","165"
"47","37280","Abdoulaye Meite","41745","1980-10-06 00:00:00","185.42","181"
"48","439366","Abdoulaye Toure","210450","1994-03-03 00:00:00","187.96","170"
"49","148827","Abdoulwahid Sissoko","189568","1990-03-20 00:00:00","182.88","165"
"50","173011","Abdourahman Dampha","197901","1991-12-27 00:00:00","182.88","168"
"51","419681","Abdul Aziz Tetteh","190193","1989-02-10 00:00:00","182.88","190"
"52","196947","Abdul Majeed Waris","198420","1991-09-19 00:00:00","172.72","157"
"53","89405","Abdul Osman","184768","1987-02-27 00:00:00","182.88","154"
"54","324910","Abdul Rahman Baba","209620","1994-07-02 00:00:00","177.8","154"
"55","67952","Abdul-Yakinu Iddi","180316","1986-05-25 00:00:00","172.72","146"
"56","31012","Abdulkader Keita","157191","1981-08-06 00:00:00","182.88","172"
"57","176301","Abdulla Fatadi","210766","1985-11-02 00:00:00","175.26","172"
"58","307227","Abdullah Al Hafith","207716","1992-12-25 00:00:00","187.96","165"
"59","176302","Abdullah Omar","192670","1987-01-01 00:00:00","175.26","157"
"60","525595","Abdullahi Shehu","229026","1993-03-12 00:00:00","180.34","159"
"61","24385","Abel Aguilar","177974","1985-01-06 00:00:00","185.42","176"
"62","29904","Abel Gomez","111085","1982-02-20 00:00:00","182.88","165"
"63","105548","Abel Hernandez","188484","1990-08-08 00:00:00","185.42","161"
"64","172875","Abel Issa Camara","208005","1990-01-06 00:00:00","185.42","179"
"65","302985","Abel Khaled","207541","1992-11-09 00:00:00","180.34","148"
"66","240556","Abel Tamata","202153","1990-12-05 00:00:00","182.88","170"
"67","40938","Abel","17880","1978-12-22 00:00:00","177.8","165"
"68","37422","Abella Perez Damia","159580","1982-04-15 00:00:00","187.96","174"
"69","114503","Abiola Dauda","187175","1988-02-03 00:00:00","180.34","165"
"70","27277","Abou Diaby","163423","1986-05-11 00:00:00","193.04","168"
"71","181344","Aboubacar Tandia","138675","1983-10-05 00:00:00","193.04","185"
"72","581141","Aboubakar Kamara","225541","1995-03-07 00:00:00","177.8","168"
"73","80592","Aboubakar Oumarou","218548","1987-04-01 00:00:00","182.88","168"
"74","165706","Abraham Gonzalez","159566","1985-07-16 00:00:00","177.8","176"
"75","210453","Abraham Guie Gneki","199724","1986-07-25 00:00:00","180.34","154"
"76","208635","Abraham Kudemor","202600","1985-02-25 00:00:00","182.88","179"
"77","213695","Abraham Minero","198840","1986-02-22 00:00:00","175.26","157"
"78","33715","Abraham Paz Cruz","114663","1979-03-14 00:00:00","177.8","165"
"79","41489","Achille Coser","163901","1982-07-14 00:00:00","185.42","174"
"80","25571","Achille Emana","112392","1982-06-05 00:00:00","180.34","170"
"81","660145","Achille Vaarnold","229149","1996-01-26 00:00:00","175.26","157"
"82","45960","Achmed Ahahaoui","171405","1983-12-06 00:00:00","177.8","152"
"83","293235","Achraf Lazaar","206161","1992-09-22 00:00:00","182.88","168"
"84","34487","Aco Stojkov","140730","1983-04-29 00:00:00","177.8","165"
"85","26331","Adailton","158505","1983-04-14 00:00:00","190.5","187"
"86","41749","Adailton","4769","1977-01-24 00:00:00","175.26","161"
"87","495841","Adalberto Penaranda","231638","1997-05-31 00:00:00","182.88","172"
"88","519835","Adam Armstrong","221841","1997-02-10 00:00:00","172.72","152"
"89","68840","Adam Banas","189047","1982-12-25 00:00:00","185.42","174"
"90","27534","Adam Bodzek","177129","1985-09-07 00:00:00","182.88","174"
"91","157303","Adam Bogdan","184585","1987-09-27 00:00:00","193.04","198"
"92","563198","Adam Brown","224355","1995-06-09 00:00:00","177.8","141"
"93","557396","Adam Buksa","224438","1996-07-12 00:00:00","190.5","172"
"94","365666","Adam Campbell","206567","1995-01-01 00:00:00","170.18","161"
"95","180197","Adam Collin","53363","1984-12-09 00:00:00","190.5","172"
"96","310346","Adam Cummins","200743","1993-03-03 00:00:00","187.96","172"
"97","68962","Adam Danch","180440","1987-12-15 00:00:00","182.88","179"
"98","429870","Adam Deja","212988","1993-06-24 00:00:00","185.42","181"
"99","23133","Adam Drury","101882","1978-08-29 00:00:00","180.34","161"
"100","420209","Adam Drury","205162","1993-09-09 00:00:00","177.8","152"
