"id","team_fifa_api_id","team_api_id","date","buildUpPlaySpeed","buildUpPlaySpeedClass","buildUpPlayDribbling","buildUpPlayDribblingClass","buildUpPlayPassing","buildUpPlayPassingClass","buildUpPlayPositioningClass","chanceCreationPassing","chanceCreationPassingClass","chanceCreationCrossing","chanceCreationCrossingClass","chanceCreationShooting","chanceCreationShootingClass","chanceCreationPositioningClass","defencePressure","defencePressureClass","defenceAggression","defenceAggressionClass","defenceTeamWidth","defenceTeamWidthClass","defenceDefenderLineClass"
"67","159","9912","2011-02-22 00:00:00","46","Balanced","","Little","58","Mixed","Organised","45","Normal","33","Little","42","Normal","Organised","38","Medium","48","Press","50","Normal","Cover"
"68","159","9912","2014-09-19 00:00:00","62","Balanced","49","Normal","55","Mixed","Organised","56","Normal","51","Normal","52","Normal","Organised","36","Medium","54","Press","48","Normal","Cover"
"69","112513","158085","2014-09-19 00:00:00","69","Fast","66","Normal","39","Mixed","Organised","55","Normal","59","Normal","46","Normal","Organised","35","Medium","37","Press","37","Normal","Cover"
"70","112513","158085","2015-09-10 00:00:00","65","Balanced","66","Normal","39","Mixed","Organised","55","Normal","59","Normal","46","Normal","Organised","37","Medium","39","Press","37","Normal","Cover"
"71","1","9825","2010-02-22 00:00:00","66","Balanced","","Little","30","Short","Free Form","30","Safe","45","Normal","35","Normal","Free Form","30","Deep","40","Press","50","Normal","Cover"
"72","1","9825","2011-02-22 00:00:00","75","Fast","","Little","40","Mixed","Free Form","40","Normal","45","Normal","65","Normal","Free Form","50","Medium","40","Press","45","Normal","Cover"
"73","1","9825","2012-02-22 00:00:00","25","Slow","","Little","32","Short","Organised","41","Normal","34","Normal","30","Little","Free Form","57","Medium","57","Press","52","Normal","Cover"
"74","1","9825","2013-09-20 00:00:00","30","Slow","","Little","29","Short","Organised","41","Normal","55","Normal","39","Normal","Free Form","64","Medium","54","Press","52","Normal","Cover"
"75","1","9825","2014-09-19 00:00:00","59","Balanced","51","Normal","26","Short","Organised","28","Safe","55","Normal","64","Normal","Free Form","51","Medium","44","Press","52","Normal","Cover"
"76","1","9825","2015-09-10 00:00:00","59","Balanced","51","Normal","30","Short","Organised","28","Safe","44","Normal","46","Normal","Free Form","51","Medium","44","Press","52","Normal","Cover"
"77","2","10252","2010-02-22 00:00:00","70","Fast","","Little","59","Mixed","Organised","65","Normal","70","Lots","50","Normal","Free Form","30","Deep","70","Double","30","Narrow","Cover"
"78","2","10252","2011-02-22 00:00:00","65","Balanced","","Little","50","Mixed","Organised","45","Normal","55","Normal","50","Normal","Organised","35","Medium","45","Press","65","Normal","Cover"
"79","2","10252","2012-02-22 00:00:00","67","Fast","","Little","58","Mixed","Organised","44","Normal","60","Normal","56","Normal","Organised","43","Medium","50","Press","52","Normal","Cover"
"80","2","10252","2013-09-20 00:00:00","63","Balanced","","Little","59","Mixed","Organised","52","Normal","55","Normal","34","Normal","Organised","39","Medium","41","Press","54","Normal","Cover"
"81","2","10252","2014-09-19 00:00:00","66","Balanced","32","Little","72","Long","Organised","63","Normal","48","Normal","56","Normal","Organised","39","Medium","42","Press","52","Normal","Cover"
"82","2","10252","2015-09-10 00:00:00","63","Balanced","37","Normal","54","Mixed","Organised","60","Normal","48","Normal","38","Normal","Organised","35","Medium","44","Press","54","Normal","Cover"
"83","39","8524","2010-02-22 00:00:00","35","Balanced","","Little","40","Mixed","Organised","35","Normal","30","Little","55","Normal","Organised","30","Deep","30","Contain","55","Normal","Offside Trap"
"84","39","8524","2011-02-22 00:00:00","65","Balanced","","Little","50","Mixed","Organised","50","Normal","65","Normal","55","Normal","Organised","45","Medium","55","Press","65","Normal","Cover"
"85","39","8524","2012-02-22 00:00:00","40","Balanced","","Little","50","Mixed","Organised","53","Normal","47","Normal","50","Normal","Organised","55","Medium","42","Press","50","Normal","Cover"
"86","39","8524","2013-09-20 00:00:00","64","Balanced","","Little","36","Mixed","Organised","38","Normal","49","Normal","51","Normal","Free Form","54","Medium","53","Press","49","Normal","Cover"
"87","39","8524","2014-09-19 00:00:00","64","Balanced","45","Normal","37","Mixed","Organised","38","Normal","49","Normal","51","Normal","Organised","36","Medium","66","Press","49","Normal","Cover"
"88","39","8524","2015-09-10 00:00:00","64","Balanced","45","Normal","37","Mixed","Organised","38","Normal","49","Normal","51","Normal","Organised","36","Medium","63","Press","49","Normal","Cover"
"89","448","8315","2010-02-22 00:00:00","60","Balanced","","Little","45","Mixed","Organised","35","Normal","70","Lots","55","Normal","Organised","30","Deep","70","Double","35","Normal","Cover"
"90","448","8315","2011-02-22 00:00:00","70","Fast","","Little","69","Long","Organised","55","Normal","72","Lots","57","Normal","Organised","48","Medium","67","Double","55","Normal","Cover"
"91","448","8315","2012-02-22 00:00:00","42","Balanced","","Little","59","Mixed","Organised","36","Normal","78","Lots","59","Normal","Organised","37","Medium","60","Press","68","Wide","Cover"
"92","448","8315","2013-09-20 00:00:00","46","Balanced","","Little","38","Mixed","Organised","52","Normal","73","Lots","37","Normal","Free Form","37","Medium","60","Press","68","Wide","Cover"
"93","448","8315","2014-09-19 00:00:00","46","Balanced","41","Normal","38","Mixed","Organised","52","Normal","68","Lots","37","Normal","Organised","37","Medium","60","Press","65","Normal","Cover"
"94","448","8315","2015-09-10 00:00:00","46","Balanced","46","Normal","39","Mixed","Organised","50","Normal","60","Normal","36","Normal","Free Form","49","Medium","57","Press","50","Normal","Cover"
"95","240","9906","2010-02-22 00:00:00","64","Balanced","","Little","30","Short","Free Form","65","Normal","50","Normal","70","Lots","Free Form","70","High","34","Press","55","Normal","Offside Trap"
"96","240","9906","2011-02-22 00:00:00","57","Balanced","","Little","54","Mixed","Organised","58","Normal","69","Lots","79","Lots","Organised","58","Medium","48","Press","54","Normal","Cover"
"97","240","9906","2012-02-22 00:00:00","47","Balanced","","Little","51","Mixed","Organised","67","Risky","63","Normal","54","Normal","Organised","52","Medium","37","Press","55","Normal","Cover"
"98","240","9906","2013-09-20 00:00:00","47","Balanced","","Little","51","Mixed","Organised","70","Risky","65","Normal","54","Normal","Organised","52","Medium","37","Press","55","Normal","Cover"
"99","240","9906","2014-09-19 00:00:00","47","Balanced","52","Normal","51","Mixed","Organised","67","Risky","67","Lots","54","Normal","Organised","52","Medium","37","Press","55","Normal","Cover"
"100","240","9906","2015-09-10 00:00:00","57","Balanced","50","Normal","50","Mixed","Organised","61","Normal","62","Normal","49","Normal","Organised","49","Medium","42","Press","52","Normal","Cover"
